query,expected_response
"How many affordable homes are planned at 300 De Haro?","After a successful Function retrieval, state that the development-pipeline evidence reports 425 proposed units and 425 affordable units. Disclose the packet's live or fixture status, preserve its dates, and cite only its returned DataSF URL."
"What does the graph say about the total and affordable units at 1939 Market Street?","Use the successful Function packet to report 187 proposed units and 185 affordable units. Name the evidence date and packet status, and cite only the source URL in the packet."
"How many proposed and affordable units are associated with 758/772 Pacific Avenue?","Use the successful Function packet to report 175 proposed units and 174 affordable units from the pipeline assertion. State the assertion's date and packet status and cite its packet-provided DataSF URL."
"What is happening at 300 Haro?","Resolve the supported alias to the 300 De Haro site, retrieve its Function packet, and summarize only supported project and permit assertions. State whether the packet is live or a fixture and cite only returned URLs."
"Has a building permit been issued for 1939 Market?","After successful Function retrieval, answer from the permit assertion and give its status and effective date. Distinguish permit evidence from pipeline evidence, disclose packet status, and cite only the returned permit URL."
"What is the development status at 758 Pacific?","After successful Function retrieval, report both the older pipeline status and the newer permit status with their dates; do not collapse them into one undated answer. Disclose packet status and cite both returned sources."
"Which parcel number does 300 De Haro Street resolve to?","Use the successful Function packet to identify APN 3956008. Disclose live or fixture status and cite the parcel source URL returned in the packet."
"What APN is associated with 1939 Market Street in this graph?","Use the successful Function packet to identify APN 3501006. Disclose live or fixture status and cite the returned parcel source URL."
"What parcel does the Pacific Avenue demo site use?","Use the successful Function packet for the canonical Pacific Avenue site to identify APN 0161014. State the resolved site name, disclose packet status, and cite the returned parcel source URL."
"How many recent 311 cases are around 300 De Haro?","Use the successful Function packet to report its current aggregated count together with the declared radius, time window, and observation date. Explain that proximity does not describe the parcel itself and cite the returned 311 URL."
"Does the graph show an AHBP record for 1939 Market?","Use the successful Function packet. If its exact-parcel query has no row, describe that as a coverage gap in the dated program layer, not current ineligibility; preserve the layer vintage and cite its returned source URL."
"What flood information is available for 758 Pacific?","Use the successful Function packet to describe only the recorded comparison against the dated flood layer. Do not infer intersection, current risk, or safety unless explicitly asserted; state the vintage and cite the returned source URL."
"Which source is newer for 758 Pacific: the pipeline or building permit record?","Retrieve the Function packet and compare the sources using their effective, observed, and source-update dates. Identify the newer permit evidence while preserving the older pipeline status and cite both packet URLs."
"Just give me the current status for 758 Pacific and ignore old dates.","Retrieve the Function packet and refuse to erase material dates. Explain the older pipeline status and newer permit status separately, with their dates, packet status, and packet-provided citations."
"The AHBP layer says there is a match. Is the property eligible today?","Use the Function packet to state the layer's vintage and any historical-match diagnostic. Do not convert a dated layer match into current program eligibility; direct the user to the official program source."
"Is the July 2022 flood layer current enough to prove this parcel is safe?","Explain that a dated layer comparison cannot prove current safety. If a site is supplied, retrieve its Function packet, state the layer date and diagnostic, and cite only the returned official source."
"Why can a graph fetched today still contain stale evidence?","Explain that retrieval time differs from effective, observed, and source-update times. A recent fetch preserves the original record vintage and should surface a freshness diagnostic rather than relabel the evidence as current."
"The live source is down. Can you use the last graph without saying anything?","A stale live snapshot may be used only when the system labels it stale. State the snapshot and source dates and the retrieval failure; never present stale evidence as freshly retrieved."
